CS1,,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Delta,Delta,Delta
,,Colacovirus,Decacovirus,Duvinacovirus,Luchacovirus,Minacovirus,Minunacovirus,Myotacovirus,Nyctacovirus,Pedacovirus,Rhinacovirus,Setracovirus,Sunacovirus,Tegacovirus,Embecovirus,Hibecovirus,Merbecovirus,Nobecovirus,Sarbecovirus,Brangacovirus,Cegacovirus,Igacovirus,Andecovirus,Buldecovirus,Herdecovirus
Alpha,Decacovirus,4218.04,6431.5,3721.62,2067.57,2424.07,4356.97,3729.32,4082.99,4220.12,3663.14,3693.67,1888.45,2239.09,992.65,1086.56,995.3,905.56,1064.97,891.24,808.89,867.78,645.52,634.97,710.32
Alpha,Duvinacovirus,3471.34,3721.62,7531.51,2146.28,2474.1,3631.24,3781.76,3575.03,3522.42,3570.64,4422.1,1866.1,2349.03,1011.37,1087.22,1003.26,894.02,1041.98,937.98,813.19,926.88,648.36,645.35,665.28
Alpha,Luchacovirus,2238.33,2067.57,2146.28,7682.6,1885.26,2208.62,2279.07,2147.33,2237.71,2203.6,2050.35,1645.31,1885.57,978.65,941.6,880.07,785.52,908.81,809.2,722.09,851.83,652.67,580.84,654.53
Alpha,Minacovirus,2340.37,2424.07,2474.1,1885.26,6418.2,2419.01,2577.51,2410.76,2471.07,2573.05,2424.72,1803.23,3405.45,966.59,993,940.2,858.25,926.1,881.09,818.03,947.77,740.03,661.53,740.57
Alpha,Minunacovirus,4127.11,4356.97,3631.24,2208.62,2419.01,7260.12,3682.97,4002.74,4094.64,3625.55,3702.49,1893.44,2215.06,1002.31,1066.37,1006.51,895.16,1009.47,934.63,816.86,936.82,669.49,627.76,719.83
Alpha,Myotacovirus,3614.8,3729.32,3781.76,2279.07,2577.51,3682.97,8487,3549.33,3596.69,3674.96,3721.65,1896.24,2418.58,1021.21,1108.2,1031.93,990.3,1093.02,929.6,724.73,987.97,681.8,652.03,654.4
Alpha,Nyctacovirus,3983,4082.99,3575.03,2147.33,2410.76,4002.74,3549.33,6496.87,3987.78,3394.41,3522.23,1924.08,2194.2,969.9,1065.4,983.36,898.58,1042.47,937.47,763.49,922.34,682.27,636.41,712.8
Alpha,Pedacovirus,4674.8,4220.12,3522.42,2237.71,2471.07,4094.64,3596.69,3987.78,7966.53,3602.51,3607.85,1847.71,2298.72,940.98,1033.07,959.42,900.09,999.86,962.88,856.61,926.52,686.05,651.99,648.8
Alpha,Rhinacovirus,3448.12,3663.14,3570.64,2203.6,2573.05,3625.55,3674.96,3394.41,3602.51,7821.34,3471.65,1854.6,2307.52,981.38,1083.96,963.06,942.27,985.5,887.76,776.48,879.45,680.24,626.1,700.84
Alpha,Setracovirus,3586.9,3693.67,4422.1,2050.35,2424.72,3702.49,3721.65,3522.23,3607.85,3471.65,6302.29,1941.15,2190.1,963.93,1023.3,980.56,873.72,1012.97,902.3,810.15,934.04,688.75,622,679.65
Alpha,Sunacovirus,1911.52,1888.45,1866.1,1645.31,1803.23,1893.44,1896.24,1924.08,1847.71,1854.6,1941.15,7385.74,1693.79,900.96,999.32,898.56,870.43,1031.83,902.32,782.69,987.09,631.52,657.94,729.96
Alpha,Tegacovirus,2223.61,2239.09,2349.03,1885.57,3405.45,2215.06,2418.58,2194.2,2298.72,2307.52,2190.1,1693.79,6871.18,958.46,927.2,918.48,816.54,839.48,837.56,828.87,918.84,707.02,639.9,664.18
Beta,Embecovirus,1006.55,992.65,1011.37,978.65,966.59,1002.31,1021.21,969.9,940.98,981.38,963.93,900.96,958.46,7554.32,1899.94,1807.78,1608.57,1824.13,1002.89,1019.22,1005.59,766.38,695.24,736.62
Beta,Hibecovirus,1126,1086.56,1087.22,941.6,993,1066.37,1108.2,1065.4,1033.07,1083.96,1023.3,999.32,927.2,1899.94,10914,2404.55,2378.95,3431.52,1007,1068.6,1064.99,734,750.06,829.4
Beta,Merbecovirus,1016.33,995.3,1003.26,880.07,940.2,1006.51,1031.93,983.36,959.42,963.06,980.56,898.56,918.48,1807.78,2404.55,6824.82,2225.38,2391.54,1027.5,997.96,1069.05,693.67,707.62,728.25
Beta,Nobecovirus,884.53,905.56,894.02,785.52,858.25,895.16,990.3,898.58,900.09,942.27,873.72,870.43,816.54,1608.57,2378.95,2225.38,7623.07,2442.82,1011.7,809.54,980.39,702.4,630.43,760.43
Beta,Sarbecovirus,1034.55,1064.97,1041.98,908.81,926.1,1009.47,1093.02,1042.47,999.86,985.5,1012.97,1031.83,839.48,1824.13,3431.52,2391.54,2442.82,8574.06,984.48,876.73,976,682,697.95,715.15
Gamma,Brangacovirus,905.4,891.24,937.98,809.2,881.09,934.63,929.6,937.47,962.88,887.76,902.3,902.32,837.56,1002.89,1007,1027.5,1011.7,984.48,8061,1202.67,2721.23,865.8,958.4,929.6
Gamma,Cegacovirus,891.87,808.89,813.19,722.09,818.03,816.86,724.73,763.49,856.61,776.48,810.15,782.69,828.87,1019.22,1068.6,997.96,809.54,876.73,1202.67,9720.22,1169.27,814.2,872.84,820.47
Gamma,Igacovirus,953.1,867.78,926.88,851.83,947.77,936.82,987.97,922.34,926.52,879.45,934.04,987.09,918.84,1005.59,1064.99,1069.05,980.39,976,2721.23,1169.27,7351.77,918.89,953.52,983.65
Delta,Andecovirus,755.8,645.52,648.36,652.67,740.03,669.49,681.8,682.27,686.05,680.24,688.75,631.52,707.02,766.38,734,693.67,702.4,682,865.8,814.2,918.89,7287,2212.95,2069
Delta,Buldecovirus,751.49,634.97,645.35,580.84,661.53,627.76,652.03,636.41,651.99,626.1,622,657.94,639.9,695.24,750.06,707.62,630.43,697.95,958.4,872.84,953.52,2212.95,5271.34,2264.05
Delta,Herdecovirus,682,710.32,665.28,654.53,740.57,719.83,654.4,712.8,648.8,700.84,679.65,729.96,664.18,736.62,829.4,728.25,760.43,715.15,929.6,820.47,983.65,2069,2264.05,7205
